Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,GRM155R60J106ME15D,CAPC1005X65N,-1.76,4.72,180,top
C2,GCM155R71C104KA55J,CAPC1005X55N,-1.76,6.06,180,top
C3,CC0603KRX7R7BB105,MLCC_16V_1uF_X7R_±10%_0603_C106248,-10.11,8.83,-90,top
C4,CC0603KRX7R7BB105,MLCC_16V_1uF_X7R_±10%_0603_C106248,-3.57,8.96,90,top
D1,BAT20JFILM,SOD-323,-12.14,8.88,-90,top
FPC1,AFC01-S12FCA-00,FFC_conn_Flip type_12P_P=0.5mm_C262661,-9.2825,0.1,-90,top
FPC2,AFC01-S12FCA-00,FFC_conn_Flip type_12P_P=0.5mm_C262661,9.2825,0.1,90,top
J2,Conn_01x01_Female,PinHeader_1x01_P1.00mm_Vertical,-5.4,5.8,0,top
LED1,Green,LEDC1608X80N,3.94,7.85,180,top
R1,0402WGD1001TCE,Resistor_62.5mW_50V_±0.5%_1kΩ_0402_C407754,2.77,6.05,0,top
R2,RC0402FR-0733RL,Resistor_62.5mW_50V_±1%_33Ω_0402_C138002,-4.7,1.3,180,top
R3,RC0402FR-0710KL,Resistor_62.5mW_50V_±1%_10kΩ_0402_C60490,-2.58,-4.91,0,top
U1,AS5048A,TSSOP-14_4.4x5mm_P0.65mm,0,0,90,top
U2,TLV75733PDBVR,LDO_1A_Fixed_3.3V_out_5.5V_in_SOT-23-5_C485517,-6.68,8.99,-90,top
