Comment,Designator,Footprint,LCSC
GRM155R60J106ME15D,C1,10uF_cap_GRM155R60J106ME15D:CAPC1005X65N,C412251
GCM155R71C104KA55J,C2,100nf_cap_GCM155R71C104KA55J:CAPC1005X55N,C2655418
CC0603KRX7R7BB105,"C3,C4",MLCC_16V_1uF_X7R_±10%_0603_C106248:MLCC_16V_1uF_X7R_±10%_0603_C106248,C106248
BAT20JFILM,D1,diode_BAT20JFILM:SOD-323,C155590
AFC01-S12FCA-00,"FPC1,FPC2",FFC_conn_Flip type_12P_P=0.5mm_C262661:FFC_conn_Flip type_12P_P=0.5mm_C262661,C262661
Conn_01x01_Female,J2,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,
Jumper_2_Open,"JP1,JP2,JP3,JP4,JP5,JP6,JP7",solder_jumpers:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
Green,LED1,green_LED_wurth_150060GS75000_0603_C5252984:LEDC1608X80N,C5252984
0402WGD1001TCE,R1,Resistor_62.5mW_50V_±0.5%_1kΩ_0402_C407754:Resistor_62.5mW_50V_±0.5%_1kΩ_0402_C407754,C407754
RC0402FR-0733RL,R2,Resistor_62.5mW_50V_±1%_33Ω_0402_C138002:Resistor_62.5mW_50V_±1%_33Ω_0402_C138002,C138002
RC0402FR-0710KL,R3,Resistor_62.5mW_50V_±1%_10kΩ_0402_C60490:Resistor_62.5mW_50V_±1%_10kΩ_0402_C60490,C60490
AS5048A,U1,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,C2655181
TLV75733PDBVR,U2,LDO_1A_Fixed_3.3V_out_5.5V_in_SOT-23-5_C485517:LDO_1A_Fixed_3.3V_out_5.5V_in_SOT-23-5_C485517,C485517
