Comment,Designator,Footprint,LCSC
FS55X226K500EHG,"C1,C6",Cap_MLCC_50V_22uF_X7R_2220_C784103:Cap_MLCC_50V_22uF_X7R_2220_C784103,C784103
CC0603KRX7R9BB104,C2,MLCC_Yageo_50V_100nF_X7R_±10%_0603_C14663:MLCC_Yageo_50V_100nF_X7R_±10%_0603_C14663,C14663
"470uF, 35V",C3,470uF_35V_Alu_cap_panasonic_EEH-ZS1V471P_C403803:CAP_EEHZS1V471P,C403803
GCM155R71C104KA55J,C4,100nf_cap_GCM155R71C104KA55J:CAPC1005X55N,C2655418
"0.1uF, 16V",C5,100nf_16V_MLCC_GRM155R71C104KA88D_C71629:CAPC1005X55N,C71629
CGA2B3X7R1V104KT0Y0F,"C7,C8,C11,C12,C15,C16,C19,C20",TDK cap_100nF_35V_C0402_C343047:C0402_L1.0-W0.5-H0.5,C343047
RVT1V101M0605,"C9,C10,C13,C14,C17,C18",Capacitor_100uF_35V_75mA@120Hz_±20%_D6pt3xL5pt4mm_C3151830:Capacitor_100uF_35V_75mA@120Hz_±20%_D6pt3xL5pt4mm_C3151830,C3151830
BZT52C5V6S_C19077441,D2,BZT52C5V6S_5.2V_to_6V_200mW_5.6V_SOD-323_Zener_Diodes_C19077441:SOD-323_L1.7-W1.3-LS2.6-RD,C19077441
0ZCJ0020FF2E,F1,Bel_Fuse_0ZCJ0020FF2E_30V_200mA_10A_400mA_1206_Resettable_Fuses_C6964258.pretty:F1206,C6964258
AFC01-S12FCA-00,FPC1,FFC_conn_Flip type_12P_P=0.5mm_C262661:FFC_conn_Flip type_12P_P=0.5mm_C262661,C262661
FTC252012S100MBCA,L1,Inductor_10uH_1pt6A_2x2pt5mm_C5832376:Inductor_10uH_1pt6A_2x2pt5mm_C5832376,C5832376
Green,LED1,green_LED_wurth_150060GS75000_0603_C5252984:LEDC1608X80N,C5252984
MAC97A8-23-3L,Q1,KY_MAC97A8-23-3L_10mA_800V_SOT-23-3L_Thyristors_SCR_C2831929:SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BL-A,C2831929
"5kR, 0.25W","R1,R33,R34",5kR_250mW_yageo_RT1206BRD075KL_1206_C870818:RESC3116X65N,C870818
"10kR, 100mW",R2,10kR_100mW_yageo_RC0603FR-0710KL_0603_C98220:RESC1607X60N,C98220
"1kR, 0.25W","R20,R21",1kR_250mW_yageo_RC1206FR-071KL_1206_C131398:RESC3116X65N,C131398
RC0402FR-07100KL,"R3,R4,R8,R15,R16,R17,R18,R19",Resistor_ 100kΩ_62.5mW_50V_0402_C60491:Resistor_ 100kΩ_62.5mW_50V_0402_C60491,C60491
FRC0805F1902TS,R5,Resistor_19kΩ_0.125W_150V_0805_C2930177:Resistor_19kΩ_0.125W_150V_0805_C2930177,C2930177
"33R, 0.1W","R6,R7,R26,R27,R28,R29,R30,R31,R32",33R_100mW_yageo_RC0603JR-0733RL_0603_C108407:RESC1608X55N,C108407
0402WGF2000TCE,"R9,R10,R11,R12,R13,R14",62.5mW_Resistor_50V_±1%_200Ω_0402_C25087:R0402,C25087
DSWB06LHGET,SW1,6_SPST_Through_Hole_DIP_C99416:6_SPST_Through_Hole_DIP_C99416,C99416
TP6841S6-A,U1,Step-down_800mA_4.5V_to_40V_SOT-23-6_C2844924:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C2844924
XL-1608UBC-06A,"U2,U5,U6,U7,U8,U9,U10",Blue_LED_5mA_456nm~476nm_130°_2.6V~3V_0603_C7371904:Blue_LED_5mA_456nm~476nm_130°_2.6V~3V_0603_C7371904,C7371904
XT30UPB-M,U4,high_current_connector_amass_XT30UPB-M_C108769:XT30UPB-M,C108769
